stored_name	slug	kind	website	name	description_de	description_en	events	note
Como Esta Wally Producciones Y Management Sl	como-esta-wally-producciones-y-management-sl	promoter		Como Esta Wally Producciones Y Management Sl			3	Spanish company, Cosmic Comedy
Concert Concept	concert-concept	promoter	https://www.concert-concept.de/	Concert Concept	Concert Concept ist die Berliner Tochter der DEAG und örtlicher Veranstalter in Berlin, Potsdam, Leipzig und Dresden. Das Programm reicht von Rock und Pop über Familien-Entertainment bis zu Klassik und Jazz, vom Privatclub bis zur Max-Schmeling-Halle.	Concert Concept is DEAG's Berlin subsidiary and the local promoter in Berlin, Potsdam, Leipzig and Dresden. Its programme runs from rock and pop to family entertainment, classical and jazz, from Privatclub to the Max-Schmeling-Halle.	15	DEAG
Concertbüro Zahlmann	concertburo-zahlmann	promoter	https://www.cbz.events/	Concertbüro Zahlmann			2	
Contigo	contigo	unverified		Contigo			1	Cosmic Comedy
Contra	contra	unverified		Contra			2	Columbia Theater
Cornershop	cornershop	unverified		Cornershop			2	Cosmic Comedy
Cosmic Comedy Berlin	cosmic-comedy-berlin	venue	https://www.cosmiccomedyclub.com/	Cosmic Comedy Berlin			25	club own shows
Cosmic Romance	cosmic-romance	unverified		Cosmic Romance			1	
Crunch Tapes	crunch-tapes	promoter	https://www.crunchtapes.com/	Crunch Tapes			1	site writes CRUNCH TAPES
Cyberfunk + Urban Spree	cyberfunk-urban-spree	party		Cyberfunk + Urban Spree			1	co-billing not split (+)
d2mberlin	d2mberlin	promoter	https://d2mberlin.de/	d2mberlin			1	
Dancing With Myself	dancing-with-myself	party		Dancing With Myself			1	see Berlin Pop Nights
Das forgotten female* composers	das-forgotten-female-composers	junk		Das forgotten female* composers			1	title fragment; deleted by V026
Decibel Touring	decibel-touring	promoter		Decibel Touring			1	site not found
Deep Medi	deep-medi	promoter		Deep Medi			1	label
Deputamadre Berlin	deputamadre-berlin	unverified		Deputamadre Berlin			1	
Destiny Tourbooking	destiny-tourbooking	promoter	https://www.destiny-tourbooking.com/	Destiny Tourbooking			1	
Deutsches Polen-Institut	deutsches-polen-institut	sponsor	https://www.deutsches-polen-institut.de/	Deutsches Polen-Institut			1	
die lesebühne	die-lesebuhne	promoter	https://www.dielesebuehne.de/	die lesebühne			3	
Diffus	diffus	media	https://diffus.de/	DIFFUS			4	site writes DIFFUS
Dirty Dancing Party	dirty-dancing-party	party		Dirty Dancing Party			2	
DJ Rebel	dj-rebel	party		DJ Rebel			5	
Dlf	deutschlandfunk	media	https://www.deutschlandfunk.de/	Deutschlandfunk			1	stored as Dlf
Doomstar	doomstar-bookings	promoter	https://doomstarbookings.com/	Doomstar Bookings			1	
Dynablaster	dynablaster	party		Dynablaster			1	
dynamis	dynamis	sponsor	https://www.dynamis-berlin.de/	dynamis			0	non-profit (Reisen für Menschen mit Beeinträchtigung), credited at Lido
Echo	echo	unverified		Echo			7	Bi Nuu, 7 events; JSON has a URL, not read yet
Echo Vision Artist Management	echo-vision-artist-management	promoter		Echo Vision Artist Management			1	
Echoes of Pandora	echoes-of-pandora	unverified		Echoes of Pandora			1	
Effetto Notte	effetto-notte	unverified		Effetto Notte			1	
Einen Hab Ich Noch	einen-hab-ich-noch	unverified		Einen Hab Ich Noch			1	Columbia Theater
Emergenza	emergenza	promoter	https://www.emergenza.net/	Emergenza			1	festival
Eskapaden	eskapaden	unverified		Eskapaden			2	Bi Nuu
Estetica Torta	estetica-torta	unverified		Estetica Torta			1	
Europe Deadheads	europe-deadheads	promoter	https://europedeadheads.com/	Europe Deadheads			3	fan community
F-Cat	f-cat	unverified		F-Cat			1	
Fandom Night	fandom-night	party		Fandom Night			3	Badehaus; no site
Fania Brava	fania-brava	party		Fania Brava			1	
Feinster HipHop	feinster-hiphop	party		Feinster HipHop			1	
Festsaal Kreuzberg	festsaal-kreuzberg	venue	https://festsaal-kreuzberg.de/	Festsaal Kreuzberg			8	Festsaal Kreuzberg Booking
Fever & Nova Sky Stories	fever-nova-sky-stories	promoter		Fever & Nova Sky Stories			1	drone show co-billing
FKP Scorpio	fkp-scorpio	promoter	https://fkpscorpio.com/	FKP Scorpio	FKP Scorpio ist einer der größten Konzertveranstalter Europas, mit Sitz in Hamburg – vom Clubkonzert über Arena-Tourneen bis zu Festivals wie Hurricane und Southside. In Berlin veranstaltet FKP unter anderem im Quasimodo, Hole 44 und Velodrom.	FKP Scorpio is one of Europe's largest concert promoters, based in Hamburg, from club shows and arena tours to festivals such as Hurricane and Southside. In Berlin it promotes at Quasimodo, Hole 44 and the Velodrom, among others.	6	
FluxFM	fluxfm	media	https://www.fluxfm.de/	FluxFM			5	
Frack & Spitzenhöschen	frack-spitzenhoschen	artist		Frack & Spitzenhöschen			1	show name
Frank Martini	frank-martini	party		Frank Martini			1	
Friendly Reminder	friendly-reminder	promoter	https://www.friendlyreminder.live/	Friendly Reminder			4	was listenagency
Fritz	fritz	media	https://www.fritz.de/	Fritz			1	rbb radio
Frontstage Magazine	frontstage-magazine	media	https://frontstage-magazine.de/	Frontstage Magazine			2	
Full Contact Safari	full-contact-safari	unverified		Full Contact Safari			1	
Fumie	fumie	unverified	https://www.fumie.de/	Fumie			1	site has no title
Furiosa	furiosa	party		Furiosa			2	Lido
Geisburg	geisburg	promoter		Geisburg			1	Geisburg Records, Schokoladen
Girls Town Party	girls-town-party	party		Girls Town Party			1	
GoToBeat	gotobeat	promoter	https://gotobeat.com/	Gotobeat			3	stored GoToBeat; site Gotobeat
Greyzone Concerts	greyzone-concerts	promoter	https://www.greyzone-concerts.de/	Greyzone Concerts	Greyzone Concerts ist ein Berliner Konzertveranstalter für Indie, Alternative, Post-Punk und Psychedelic. Die Shows laufen in Clubs wie Cassiopeia, Neue Zukunft, Urban Spree und Lido.	Greyzone Concerts is a Berlin promoter for indie, alternative, post-punk and psychedelic acts. Its shows run in clubs such as Cassiopeia, Neue Zukunft, Urban Spree and Lido.	34	
Hasenscheisse	hasenscheisse	artist		Hasenscheisse			1	show name
HB Music	hb-music	promoter	https://hb-music.de/	HB Music			1	
Headline	headline-concerts	promoter	https://headlineconcerts.de/	Headline Concerts	Headline (headline music) ist ein Veranstalter aus Bonn für Mittelalter-Rock, Folk, Dark und Electro, mit Künstlern wie In Extremo, Schandmaul, dArtagnan, Unheilig und Heldmaschine. In Berlin laufen die Shows unter anderem im Hole 44 und in Huxleys Neue Welt.	Headline (headline music) is a Bonn-based promoter for medieval rock, folk, dark and electro acts such as In Extremo, Schandmaul, dArtagnan, Unheilig and Heldmaschine. In Berlin its shows run at Hole 44 and Huxleys Neue Welt, among others.	7	redirects to headlinemusic.de
Heesen	heesen	unverified		Heesen			1	Columbiahalle
Helping Hands Allstars	helping-hands-allstars	artist		Helping Hands Allstars			1	
Hockeypark Betriebs	hockeypark-betriebs	promoter		Hockeypark Betriebs			1	Hockeypark Betriebs GmbH, Mönchengladbach
Hollywood Tramp	hollywood-tramp	party	https://www.hollywoodtramp.de/	Hollywood Tramp			1	
Ibb	ibb-booking	promoter	https://www.ibb-booking.com/	IBB Booking			2	same site as Boldt Berlin
Ilija Gabrilenko	ilija-gabrilenko	promoter		Ilija Gabrilenko			1	person, Urban Spree
Impericon	impericon	promoter	https://www.impericon.com/	Impericon			1	
Itd	itd	junk		Itd			1	Hole 44; deleted by V026
Jb Freie	jb-freie	unverified		Jb Freie			1	Huxleys slug-minted, casing defect: #307
Jm Audio	jm-audio	unverified		Jm Audio			1	Huxleys slug-minted, casing defect: #307
Join	join	unverified		Join			2	Max-Schmeling-Halle, rap
Jungle World	jungle-world	media	https://jungle.world/	Jungle World			1	weekly
Karsten Jahnke Konzertdirektion	karsten-jahnke-konzertdirektion	promoter	https://kj.de/	Karsten Jahnke Konzertdirektion			1	
Katharsis	katharsis	unverified		Katharsis			1	
Kiezpoeten	kiezpoeten	promoter	https://kiezpoeten.com/	Kiezpoeten			3	
King David Soundsystem	king-david-soundsystem	artist		King David Soundsystem			1	
King Kong Kicks	king-kong-kicks	party	https://kingkongkicks.com/	King Kong Kicks			14	site writes KING KONG KICKS
Kingstar	kingstar-music	promoter	https://www.kingstar-music.com/	Kingstar Music			2	Kingstar GmbH, Hamburg
Kinky Hub	kinkyhub-berlin	party	https://www.kinkyhub.de/	KinkyHub Berlin			1	
kj der käpt'n	kj-der-kapt-n	artist		kj der käpt'n			1	karaoke host
KKT	kkt	promoter	https://kkt.berlin/	KKT			4	
klassix	klassix	unverified		klassix			1	
Kneipenabend	kneipenabend	junk		Kneipenabend			3	Schokoladen bar night; deleted by V026
Kommune	kommune	unverified		Kommune			1	
Kontramarka	kontramarka	promoter	https://www.kontramarka.de/	Kontramarka			1	Russian-language ticket agency
Konzertbüro Schoneberg	konzertburo-schoneberg	promoter	https://www.schoneberg.de/	Konzertbüro Schoneberg	Das Konzertbüro Schoneberg veranstaltet Rock und Pop, Klassik, Kabarett und Comedy, mit Büros in Berlin, Hamburg, Köln, Frankfurt, München und Münster. In Berlin laufen die Shows unter anderem im Lido, Privatclub und Huxleys Neue Welt.	Konzertbüro Schoneberg promotes rock and pop, classical, cabaret and comedy, with offices in Berlin, Hamburg, Cologne, Frankfurt, Munich and Münster. In Berlin its shows run at Lido, Privatclub and Huxleys Neue Welt, among others.	18	
Kulturalarm	kulturalarm	venue	https://kulturalarm.com/	kulturALARM			6	e.V. behind Kulturhaus Insel
Kulturnews	kulturnews	media	https://kulturnews.de/	kulturnews			7	site lowercase
Kunst&Krawall	kunst-krawall	promoter		Kunst&Krawall			1	Insel slam series
Kuratorin Anika Meier	kuratorin-anika-meier	junk		Kuratorin Anika Meier			1	role + person; deleted by V026
Känguruh Production	kanguruh-production	promoter	https://www.kaenguruh.de/	Känguruh Production			2	Halle
L'Oreille en friche	l-oreille-en-friche	promoter		L'Oreille en friche			1	
Landstreicher	landstreicher-konzerte	promoter	https://landstreicher-konzerte.de/	Landstreicher Konzerte	Landstreicher Konzerte veranstaltet seit 2014 in Berlin und im Osten Deutschlands: Rap und R'n'B, Indie, Alternative, Rock, Pop, Electronic, dazu Podcasts, Lesungen und Stand-up. Das Sublabel Vertikal Concerts (seit 2019) bucht Punk, Hardcore und Metal.	Landstreicher Konzerte has promoted shows in Berlin and eastern Germany since 2014: rap and R&B, indie, alternative, rock, pop and electronic, plus podcasts, readings and stand-up. Its sub-label Vertikal Concerts (since 2019) books punk, hardcore and metal.	99	
Lars Berndt	lars-berndt-events	promoter	https://www.lb-events.de/	Lars Berndt Events			3	Bochum
LassMaMachen	lassmamachen	unverified		LassMaMachen			1	
le petit signal	le-petit-signal	promoter		le petit signal			1	Schokoladen collective
Leasing&rent	leasing-rent	junk		Leasing&rent			1	deleted by V026
Levanto	levanto	unverified		Levanto			1	Cosmic Comedy
Lido Berlin	lido-berlin	venue	https://www.lido-berlin.de/	Lido Berlin			1	
Light The Blind	light-the-blind	artist	https://www.lighttheblind.de/	Light The Blind			1	band
Listen	listen	promoter	https://www.listencollective.com/	Listen			1	Listen Collective, not listenagency
Live Embassy	live-embassy	unverified		Live Embassy			1	
Live Nation	live-nation	promoter	https://www.livenation.de/	Live Nation			4	
Local Advisor	local-advisor	unverified		Local Advisor			1	
Loft Concerts	loft-concerts	promoter	https://loft.de/	Loft Concerts	Loft Concerts geht auf den Club „Loft“ zurück, den Monika Döring 1982 über dem Metropol am Nollendorfplatz gründete. Heute ist Loft eine Berliner Konzertagentur für Indie, Pop und Singer-Songwriter, mit Shows von der Kantine am Berghain bis zur Columbiahalle.	"Loft Concerts goes back to the ""Loft"", the club Monika Döring opened above the Metropol on Nollendorfplatz in 1982. Today Loft is a Berlin concert agency for indie, pop and singer-songwriters, with shows from Kantine am Berghain to the Columbiahalle."	68	
Luv`n Musiq	luv-n-musiq	unverified		Luv`n Musiq			1	
M-Art	m-art	promoter	https://www.m-art.de/	M-Art			1	site title Willkommen
Maelføy	maelfoy	artist		Maelføy			1	act
Mailive	mailive	promoter		Mailive			1	Vanessa Mai
malespace	malespace	party		malespace			1	
Manfred Hertlein Veranstaltungs	manfred-hertlein	promoter		Manfred Hertlein			1	Würzburg; strip Veranstaltungs
Mansions and Millions	mansions-and-millions	promoter		Mansions and Millions			1	label
Marlene Von Steenvag	marlene-von-steenvag	promoter		Marlene Von Steenvag			2	burlesque festival
Mawi	mawi-concert	promoter	https://www.mawi-concert.de/	MAWI Concert			3	
MB-Konzerte	mb-konzerte	promoter		MB Konzerte			1	
Mct	mct-agentur	promoter	https://www.mct-agentur.com/	MCT Agentur			5	
Medibüro Berlin	mediburo-berlin	sponsor	https://medibuero.de/	Medibüro Berlin			1	
Messed!Up Magazine	messed-up-magazine	media	https://www.messedmag.com/	Messed!Up Magazine			2	
Metal Hammer	metal-hammer	media	https://www.metal-hammer.de/	Metal Hammer			1	
Metal.de	metal-de	media	https://www.metal.de/	metal.de			1	site lowercase
Mfp	mfp	junk		Mfp			1	deleted by V026
Michael Koch	michael-koch	artist		Michael Koch			1	
Milchmädchen Musikkultur	milchmadchen-musikkultur	promoter		Milchmädchen Musikkultur			1	
Milchsalon	milchsalon	promoter	https://milchsalon.de/	Milchsalon			1	
Miller-Zillmer Foundation	miller-zillmer-foundation	sponsor		Miller-Zillmer Foundation			3	site not found
Mind Enterprises	mind-enterprises	promoter		Mind Enterprises			1	wrestling
Morabeza	morabeza	party		Morabeza			1	
More Zvukov	more-zvukov	unverified		More Zvukov			1	
Mup	mup	junk		Mup			1	deleted by V026
MusikBlog	musikblog	media	https://www.musikblog.de/	MusikBlog			6	
Musikexpress	musikexpress	media	https://www.musikexpress.de/	Musikexpress			1	
Musikparade	musikparade	promoter		Musikparade			3	site 500
Musikschule Béla Bartók	musikschule-bela-bartok	sponsor		Musikschule Béla Bartók			1	
MusiX	musix	media		MusiX			1	magazine
Muziqme	muziqme	promoter	https://www.muziqme.de/	Muziqme			1	
MyMusic	mymusic	unverified		MyMusic			1	
Mystiek	mystiek	unverified		Mystiek			1	
Neuland	neuland	unverified		Neuland			1	
neuwerk Music Management	neuwerk-music-management	promoter	https://neuwerk-music.com/	neuwerk Music Management			3	
New Berlin	new-berlin-konzerte	promoter	https://berlinkonzerte.de/	New Berlin Konzerte	New Berlin Konzerte veranstaltet seit 2000 im Großraum Berlin: Rock und Pop, Jazz und Folk, Lesungen, Comedy und Kindermusicals. Zusammen mit der Karsten Jahnke Konzertdirektion richtet die Agentur die JazzNights aus.	New Berlin Konzerte has promoted events across Berlin since 2000: rock and pop, jazz and folk, readings, comedy and children's musicals. Together with Karsten Jahnke Konzertdirektion it runs the JazzNights series.	30	New Berlin Konzerte & Events GmbH; absorbs Berlinkonzerte
Niemals	niemals	junk		Niemals			1	title; deleted by V026
Nina Queer	nina-queer	artist		Nina Queer			1	
Nova	nova	junk		Nova			1	deleted by V026
Now And Ever	now-and-ever	promoter	https://nowandever.de/	Now And Ever			4	site NOW AND EVER Music
Ntr Team	ntr-team	unverified		Ntr Team			1	
Oakheart	oakheart	unverified		Oakheart			1	
offbeatclub	offbeatclub	promoter		offbeatclub			2	
old and fast	old-and-fast	promoter		old and fast			2	Schokoladen DJ collective
Out Of Line	out-of-line	promoter	https://www.outofline.de/	Out Of Line			3	label
Out4fame	out4fame	promoter	https://out4fame.ticket.io/	Out4fame			2	
Ox-Fancine	ox-fanzine	media	https://www.ox-fanzine.de/	Ox-Fanzine			1	stored as Ox-Fancine
Papke Luhr	papke-luhr	unverified		Papke Luhr			1	
Paranoid	paranoid	party		Paranoid			2	Lido
Patchanka	patchanka	promoter		Patchanka			2	
Peter Edel & www.stummfilmkonzerte.de	peter-edel-www-stummfilmkonzerte-de	junk		Peter Edel & www.stummfilmkonzerte.de			1	venue + URL; deleted by V026
Picky Magazine	picky-magazine	media	https://pickymagazine.de/	Picky Magazine			1	
Pluswelt	pluswelt	promoter	https://www.pluswelt.com/	Pluswelt			4	PLUSWELT PROMOTION, Hamburg
polenta	polenta	artist		polenta			1	
Popmonitor	popmonitor	media	http://www.popmonitor.de/	Popmonitor			4	
Positive Transmitter	positive-transmitter	promoter		Positive Transmitter			1	
Potalonu	potalonu	unverified		Potalonu			1	
Powerline	powerline-agency	promoter	https://powerline-agency.com/	Powerline Agency	Powerline Agency ist eine Berliner Booking-Agentur und Veranstalter für Indie, Garage und Psychedelic. Die Berliner Shows laufen im Urban Spree, Schokoladen und in der Columbiahalle.	Powerline Agency is a Berlin booking agency and promoter for indie, garage and psychedelic acts. Its Berlin shows run at Urban Spree, Schokoladen and the Columbiahalle.	10	
PRK DreamHaus	prk-dreamhaus	promoter	https://www.prk-dreamhaus.com/	PRK DreamHaus	PRK DreamHaus entstand 2024 aus der Fusion der Kölner PRK Peter Rieger Konzertagentur (seit 1983) mit dem Berliner DreamHaus (seit 2020), beide Teil der CTS Eventim. Die Agentur veranstaltet Arena- und Hallentourneen, in Berlin etwa im Velodrom und Astra Kulturhaus.	PRK DreamHaus was formed in 2024 by merging Cologne's PRK Peter Rieger Konzertagentur (founded 1983) with Berlin's DreamHaus (founded 2020), both part of CTS Eventim. It promotes arena and hall tours, in Berlin at the Velodrom and Astra Kulturhaus among others.	10	
psychberg affairs	psychberg-affairs	promoter		psychberg affairs			1	Schokoladen collective
punkfilmfest berlin	punkfilmfest-berlin	promoter		punkfilmfest berlin			7	
Pure Obsessions & Red Nights	pure-obsessions-red-nights	party		Pure Obsessions & Red Nights			1	
Puschen	puschen	promoter	https://puschen.net/	Puschen	Puschen ist eine Booking- und Promotion-Agentur aus Neukölln, gegründet von Andreas Oberschelp, mit einem Roster aus Indie, Folk und Alternative. Die Berliner Shows laufen unter anderem in Huxleys Neue Welt, silent green und Schokoladen.	Puschen is a booking and promotion agency in Neukölln, founded by Andreas Oberschelp, with a roster of indie, folk and alternative acts. Its Berlin shows run at Huxleys Neue Welt, silent green and Schokoladen, among others.	16	
Qu	qu	junk		Qu			1	deleted by V026
Quasimodo	quasimodo	venue	https://quasimodo.de/	Quasimodo			2	
Quiero Stand Up!	quiero-stand-up	promoter		Quiero Stand Up!			1	
Radio Bob	radio-bob	media	https://www.radiobob.de/	RADIO BOB!			1	site writes RADIO BOB!
Radio France International	radio-france-internationale	media	https://www.rfi.fr/	Radio France Internationale			1	
radioeins	radioeins	media	https://www.radioeins.de/	radioeins			8	
Rausgegangen	rausgegangen	media	https://rausgegangen.de/	Rausgegangen			5	event platform
rbb 88.8	rbb-88-8	media	https://www.rbb888.de/	rbb 88.8			1	
reverberation	reverberation	promoter		reverberation			1	Schokoladen collective
Rockitsessions,	rockitsessions	promoter		Rockitsessions			1	stored with trailing comma
Rolling Stone	rolling-stone	media	https://www.rollingstone.de/	Rolling Stone			3	
Root Pgr	root-pgr	unverified		Root Pgr			1	
Rough Trade Europe	rough-trade-europe	promoter		Rough Trade Europe			1	now Believe
Rudelsingen - Das Original aus Münster	rudelsingen	promoter	https://rudelsingen.de/	Rudelsingen			3	
Schubert	schubert	unverified		Schubert			1	
Selective Artists	selective-artists	promoter	https://selectiveartists.com/	Selective Artists			1	
Semmel	semmel-concerts	promoter	https://semmel.de/	Semmel Concerts	Semmel Concerts ist einer der größten Konzertveranstalter Europas, mit Sitz in Bayreuth und einem Büro in Berlin, Teil des Netzwerks EVENTIM LIVE. Über 1.500 Veranstaltungen im Jahr, von Tourneen bis zu eigenen Shows.	Semmel Concerts is one of Europe's largest concert promoters, based in Bayreuth with an office in Berlin and part of the EVENTIM LIVE network. It stages more than 1,500 events a year, from tours to its own productions.	11	
Semtainment	semtainment	unverified		Semtainment			1	
silent green	silent-green	venue	https://www.silent-green.net/	silent green			50	
Simply Quiz	simply-quiz	promoter		Simply Quiz			13	FB/IG only
Skyline Green	skyline-green	artist	https://www.skylinegreen.de/	Skyline Green			1	band
Slam	slam	junk		Slam			1	deleted by V026
Sonic Boom	sonic-boom	promoter		Sonic Boom			1	Schokoladen
Sonic Seducer	sonic-seducer	media	https://sonic-seducer.de/	Sonic Seducer			1	
Soulgigs	soulgigs	promoter		Soulgigs			1	site not found
Sozialo	sozialo	party		Sozialo			2	sozialo.de for sale
Spanisch in Berlin - Eventos	spanisch-in-berlin-eventos	promoter		Spanisch in Berlin - Eventos			1	
Spirit	spirit	junk		Spirit			1	deleted by V026
Spokes	spokes	unverified		Spokes			1	Cosmic Comedy
Stand in Front	stand-in-front	promoter	https://standinfront.de/	Stand in Front	Stand in Front ist eine Berliner Management- und Tourneeagentur für deutschen Rap, mit Künstlern wie Prinz Pi, Genetikk und Omar76. Die Berliner Shows laufen in der Columbiahalle und im Hole 44.	Stand in Front is a Berlin management and touring company for German rap, with acts such as Prinz Pi, Genetikk and Omar76. Its Berlin shows run at the Columbiahalle and Hole 44.	6	
Starving Artist	starving-artist	unverified		Starving Artist			1	
Stiftung WissensArt	stiftung-wissensart	sponsor	https://stiftung-wissensart.de/	Stiftung Wissensart			1	stored WissensArt
Streetlife International	streetlife-international	promoter	https://street.life/	Streetlife International			4	
Subacuatica	subacuatica	unverified		Subacuatica			1	
Subway Event Berlin	subway-event-berlin	promoter	https://www.subwayevent-berlin.com/	Subway Event Berlin			2	
Sunday-Matinee	sunday-matinee	junk		Sunday-Matinee			1	series label; deleted by V026
Swamp	swamp	promoter		Swamp			2	Swamp Booking
süper!nice!	super-nice	promoter		süper!nice!			1	
T.g.c. The Glow Collective	t-g-c-the-glow-collective	promoter		T.g.c. The Glow Collective			1	
Tag Der Klubkultur	tag-der-klubkultur	junk		Tag Der Klubkultur			1	event name; deleted by V026
Team Feel Free Energy	team-feel-free-energy	junk		Team Feel Free Energy			1	deleted by V026
Teenage Couleur	teenage-couleur	party		Teenage Couleur			1	
the Comedy Nomad	the-comedy-nomad	promoter		the Comedy Nomad			2	
The Hilarious Deep Amazing Comedy	the-hilarious-deep-amazing-comedy	junk		The Hilarious Deep Amazing Comedy			1	show title; deleted by V026
The Swag	the-swag	party		The Swag			2	jam session
thirsty & miserable	thirsty-miserable	promoter		thirsty & miserable			1	Schokoladen
Tilos Rádió	tilos-radio	media	https://tilos.hu/	Tilos Rádió			1	
tipBerlin	tipberlin	media	https://www.tip-berlin.de/	tipBerlin			5	
Tiq	tiq	unverified		Tiq			3	Duncker Club
Tirnanog	tirnanog	artist		Tirnanog			1	
